date,open,high,low,Close,Volume
10/2/12,76.861,76.9432,76.1486,76.6144,25792500
10/3/12,76.6692,76.925,75.9659,76.3952,38568500
10/4/12,76.6875,76.9615,75.9933,76.9158,43327200
10/5/12,77.2538,77.8658,76.5779,76.8245,40981400
10/8/12,76.377,76.6327,76.1669,76.3404,21062200
10/9/12,76.377,76.45,75.2992,75.4453,45221200
10/10/12,75.5092,75.6554,75.0617,75.3266,32465600
10/11/12,75.902,76.2125,75.4453,75.6006,38978500
10/12/12,75.5732,75.8289,74.8151,74.9886,31847100
10/15/12,75.2078,75.4818,74.6781,75.4818,34413700
10/16/12,75.8837,76.1395,75.7011,76.039,29234800
10/17/12,76.1943,76.861,76.039,76.724,35466500
10/18/12,76.6692,76.861,76.2217,76.3039,31431700
10/19/12,75.6736,75.7011,74.4132,74.7603,53565500
10/22/12,74.5685,74.8699,74.3036,74.742,30682000
10/23/12,74.1209,74.468,73.4633,74.3678,40737600
10/24/12,74.6233,74.7603,73.9017,74.1666,24472200
10/25/12,74.7877,75.0251,73.8652,74.468,27794000
10/26/12,74.3858,74.8059,73.4907,74.1118,41402800
10/31/12,74.13,74.5776,73.8743,74.5593,24879800
11/1/12,74.7329,75.5458,74.4589,75.3448,77113300
11/2/12,75.7102,75.765,74.1392,74.1586,39322100
11/5/12,74.1483,74.7511,73.9108,74.6476,26861600
11/6/12,74.9247,75.4179,74.8699,75.2078,27342500
11/7/12,74.3218,74.3218,72.9883,73.3811,65095500
11/8/12,73.2212,73.5272,72.2941,72.3489,42653100
11/9/12,72.0384,73.0431,71.8831,72.5042,33030000
11/12/12,72.6686,72.76,72.1845,72.2941,20155100
11/13/12,71.9653,72.6686,71.7735,71.8831,34408200
11/14/12,72.0475,72.2485,70.3852,70.5496,54653100
11/15/12,70.4126,70.7779,69.6819,70.1843,55966400
11/16/12,70.1294,70.9515,69.5357,70.7688,62748300
11/19/12,71.536,72.3215,71.4447,72.2662,45621100
11/20/12,72.1389,72.4768,71.8283,72.3956,36928500
